City,Country,Id's,Lat,Temperature,Humidity,Cloudiness,Wind Speed
Katiola,CI,2287298,8.14,78.8,78,40,2.24
Yangambi,CD,203717,0.77,76.75,69,66,4.97
Zhanaozen,KZ,607610,43.35,66.13,56,33,16.24
Kaeo,NZ,2189343,-35.1,57.99,94,100,5.99
Port Pirie,AU,2063030,-33.18,39.2,80,0,8.05
Moss Vale,AU,2156777,-34.55,52.03,25,100,14.99
Padang,ID,1633419,-0.92,81.79,76,33,5.41
Seymchan,RU,2121373,62.93,60.91,51,60,7.92
Santa Catalina,UY,3440580,-33.79,50.0,63,0,1.01
Yulara,AU,6355222,-25.24,41.0,48,0,4.7
Boshnyakovo,RU,2126493,49.65,50.11,85,100,2.75
Zharkent,KZ,1520253,44.17,52.45,46,0,2.1
Havre-Saint-Pierre,CA,5972291,50.23,64.4,63,1,8.05
Balabac,PH,1728675,7.99,81.25,82,100,9.62
Vostok,RU,2013279,46.45,54.25,98,100,1.54
Grand Gaube,MU,934479,-20.01,69.3,68,75,14.99
Shellbrook,CA,6145951,53.22,78.8,39,20,20.8
Lyuban,BY,625721,52.8,62.35,81,19,7.7
Zyryanka,RU,2119283,65.73,65.23,47,100,15.61
Itoman,JP,1861280,26.12,80.87,88,40,9.17
Darnah,LY,87205,32.77,75.85,74,0,9.75
Marawi,PH,1701054,8.0,75.0,95,100,5.01
Mogadouro,PT,2737599,41.34,72.61,62,0,4.07
Pangody,RU,1495626,65.85,66.85,72,37,12.66
Ferrol,ES,3123493,43.48,62.01,82,90,8.05
Sikasso,ML,2451185,11.32,81.79,58,0,4.41
Sovetskiy,RU,490040,56.76,51.19,90,0,3.53
San Rafael,AR,3836669,-34.61,53.71,23,0,3.13
Bonthe,SL,2409914,7.53,77.11,90,71,6.53
Darhan,MN,2031964,49.49,54.43,78,23,1.81
Saint-Augustin,CA,6138501,45.63,80.06,54,75,9.17
Tuatapere,NZ,2180815,-46.13,50.47,82,0,13.53
Popondetta,PG,2088163,-8.77,61.63,92,41,2.48
Huilong,CN,1784131,31.15,73.87,74,40,2.57
Hauge,NO,3156529,59.25,63.0,63,2,8.05
Hirara,JP,1862505,24.8,83.95,83,32,21.54
Mareeba,AU,2158767,-16.99,65.62,88,90,10.29
Tigil,RU,2120612,57.8,52.63,80,83,4.07
Caravelas,BR,3466980,-17.73,74.23,85,20,3.22
Maniitsoq,GL,3421982,65.42,41.47,83,83,7.7
Escanaba,US,4992232,45.75,76.3,88,90,8.05
Saint Anthony,US,5606187,43.97,81.93,28,1,12.75
Thunder Bay,CA,6166142,48.41,80.87,37,75,5.82
Wanning,AT,3220813,48.64,67.08,82,75,4.7
Bichena,ET,342190,10.45,52.45,95,100,4.79
Noumea,NC,2139521,-22.28,62.6,100,0,4.21
Aykhal,RU,2027296,65.95,51.8,66,90,6.71
Paungde,MM,1300969,18.49,74.41,93,100,8.16
Kenora,CA,5991056,49.76,77.25,29,20,12.75
Los Arcos,MX,3522961,18.89,70.61,69,90,4.74
Baruun-Urt,MN,2032614,46.68,54.43,75,56,5.84
Komsomolskiy,RU,1486910,67.55,59.11,92,69,3.65
Aswan,EG,359792,24.09,95.0,20,0,6.93
Ginir,ET,336454,7.14,58.57,94,29,6.11
Beringovskiy,RU,2126710,63.05,52.27,72,94,7.31
Pochutla,MX,3517970,15.74,87.37,62,90,2.06
Ondjiva,AO,3346821,-17.07,58.03,26,0,5.1
Salym,RU,1493162,60.06,58.93,77,6,3.65
Rocky Mountain House,CA,6126749,52.38,47.05,94,100,14.74
Butka,RU,1508589,56.72,63.97,61,100,10.42
Ust-Ishim,RU,1488206,57.69,54.79,89,0,3.91
Bulgan,MN,2032201,48.81,48.67,86,82,3.38
Cowra,AU,2170139,-33.84,37.87,77,100,1.45
Presidencia Roque Saenz Pena,AR,3840300,-26.79,56.95,58,100,4.25
Supe,PE,3928274,-10.8,63.07,90,30,15.12
Cardoso,BR,3466970,-20.08,75.85,49,50,2.39
Setubal,AR,3836277,-31.5,57.99,42,0,3.0
Yarada,IN,1252783,17.65,79.81,80,100,17.25
Siilinjarvi,FI,636947,63.08,60.8,67,0,6.93
Merghindeal,RO,673566,45.97,68.97,88,0,3.36
Nara,JP,1855612,34.68,72.68,100,75,1.12
Lusambo,CD,210379,-4.97,73.51,31,3,1.74
Rome,IT,6539761,41.89,76.96,42,0,2.24
Anito,PH,1730622,12.45,76.39,88,100,3.53
Prince Rupert,CA,6113406,54.32,57.2,93,90,3.36
Atar,MR,2381334,20.52,94.03,32,100,19.19
Tezu,IN,1254709,27.93,74.41,96,100,4.97
Dire Dawa,ET,338832,9.59,67.57,68,27,6.29
Shabqadar,PK,1165744,34.21,89.6,31,5,6.93
Nehe,CN,2035610,48.48,61.09,85,100,5.39
